"","V1","V2","V3","V4","V5"
"combined_evaluation_df[, 1]","forest_AG_c(0,1)","trees_genus_AG_c(0,1)","trees_AG&_c(0)","trees_AG_c(0,1)","forest_complete__c(0:2)"
"k_hdbscan","13"," 7"," 6"," 5","20"
"clusters","17","23","83","71","13"
"noise"," 683"," 560"," 843"," 656","1218"
"Biotoptyp-Land_purity","0.53","0.52","0.69","0.66","0.52"
"Biotoptyp-Land_purity_all","0.43","0.44","0.53","0.53","0.46"
"BT_Land_group_purity","0.98","0.96","0.96","0.96","0.94"
"BT_Land_group_purity_all","0.82","0.84","0.77","0.83","0.76"
"BT_Land_group_ari_all","0.55","0.62","0.12","0.34","0.42"
"combined_group_hdbscan","0.68","0.73","0.45","0.59","0.59"
"k_pam","16","14"," 9"," 9","24"
"purity.x","0.45","0.45","0.45","0.44","0.49"
"purity_group.x","0.85","0.87","0.88","0.88","0.81"
"combined_group_pam","0.77","0.80","0.82","0.82","0.67"
"cluster","7","8","1","1","8"
"purity.y","0.36","0.38","0.13","0.12","0.43"
"purity_group.y","0.68","0.73","0.27","0.28","0.70"
"combined_group","0.57","0.65","0.14","0.14","0.58"
